Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Brazil,South America,0.541,96.6,51.95,59.11,0.5157303370786517,0.9655347187024834,0.534282700421941,0.6674577690911628,0.6707513813235597,Low Risk
Brunei Darussalam,Asia-Pasific,0.483,56.07,41.56,67.5,0.5808988764044944,0.5546882919412063,0.4246835443037975,0.7845874633533435,0.5862145440007104,Medium Risk
Bulgaria,Europe,0.483,67.38,74.03,62.06,0.5808988764044944,0.6693360364926507,0.7671940928270042,0.7086416306017032,0.6815176590814631,Low Risk
Burkina Faso,Africa,0.483,39.98,40.26,51.79,0.5808988764044944,0.3915864166244297,0.41097046413502114,0.5652659500209408,0.48718042679622153,Medium Risk
Burundi,Africa,0.483,1.73,7.79,18.64,0.5808988764044944,0.0038520020273694867,0.06845991561181435,0.1024710316906324,0.18892045643357766,High Risk
Cabo Verde,Africa,0.483,17.74,40.26,51.79,0.5808988764044944,0.16614292954891025,0.41097046413502114,0.5652659500209408,0.4308195550273417,Medium Risk
Cambodia,Asia-Pasific,0.703,19.12,15.58,34.59,0.33370786516853934,0.18013177901672578,0.15063291139240506,0.32514309646796036,0.24740391301140763,High Risk
Cameroon,Africa,0.707,45.63,32.47,28.28,0.32921348314606746,0.44885960466294983,0.32879746835443036,0.2370515147284657,0.3359805177229783,Medium Risk
Canada,North America,0.207,97.67,70.13,75.96,0.8910112359550562,0.9763811454637608,0.7260548523206751,0.9026944017869606,0.8740354088816131,Low Risk
Central African Republic,Africa,0.483,3.24,40.26,51.79,0.5808988764044944,0.01915864166244298,0.41097046413502114,0.5652659500209408,0.39407348305572487,Medium Risk
Chad,Africa,0.483,40.44,20.78,17.28,0.5808988764044944,0.3962493664470349,0.20548523206751057,0.08348457350272231,0.31652951210544056,High Risk
Chile,South America,0.469,68.83,59.74,61.44,0.5966292134831461,0.6840344652812975,0.6164556962025317,0.6999860393689794,0.6492763535839887,Medium Risk
China,Asia-Pasific,0.483,92.53,51.95,62.41,0.5808988764044944,0.9242777496198682,0.534282700421941,0.7135278514588859,0.6882467944762973,Low Risk
Colombia,South America,0.59,63.72,53.25,52.08,0.4606741573033708,0.6322351748606183,0.5479957805907173,0.5693145330168923,0.5525549114428997,Medium Risk
Comoros,Africa,0.483,3.72,40.26,51.79,0.5808988764044944,0.02402432843385707,0.41097046413502114,0.5652659500209408,0.3952899047485784,Medium Risk
Congo,Africa,0.483,14.72,5.19,18.91,0.5808988764044944,0.13552965027876332,0.04103375527426161,0.10624040206617337,0.21592567100592316,High Risk
Costa Rica,North America,0.438,67.45,49.35,58.87,0.6314606741573033,0.6700456158134821,0.5068565400843883,0.6641072176462375,0.6181175119253528,Medium Risk
Cote d'ivoire,North America,0.483,67.82,31.17,33.54,0.5808988764044944,0.673796249366447,0.31508438818565404,0.31048443389641206,0.4700659869632519,Medium Risk
Croatia,Europe,0.255,92.53,83.12,81.51,0.8370786516853932,0.9242777496198682,0.8630801687763714,0.9801759039508585,0.9011531185081229,Low Risk
Cuba,North America,0.483,58.76,16.88,29.1,0.5808988764044944,0.581956411556006,0.16434599156118143,0.24849923216529385,0.3939251279217439,Medium Risk
Cyprus,Europe,0.334,88.82,66.23,68.83,0.748314606741573,0.8866700456158134,0.6849156118143461,0.8031551026106379,0.7807638416955927,Low Risk
Czech Republic,Europe,0.334,74.37,92.21,69.21,0.748314606741573,0.7401926001013686,0.9589662447257384,0.8084601423984362,0.8139833984917791,Low Risk
Denmark,Europe,0.117,92.6,84.42,82.68,0.9921348314606742,0.9249873289406993,0.8767932489451478,0.9965098422448695,0.9476063128978477,Low Risk
Djibouti,Africa,0.483,1.73,40.26,51.79,0.5808988764044944,0.0038520020273694867,0.41097046413502114,0.5652659500209408,0.39024682314695647,Medium Risk
Dominica,North America,0.483,4.2,3.9,56.9,0.5808988764044944,0.02889001520527116,0.02742616033755274,0.6366047745358089,0.3184549566207818,High Risk
Dominican Republic,North America,0.497,75.05,71.43,45.21,0.5651685393258428,0.7470856563608718,0.7397679324894516,0.47340499790590523,0.6313567815205179,Medium Risk
Ecuador,South America,0.652,26.3,53.25,45.57,0.39101123595505616,0.25291434363912824,0.5479957805907173,0.4784308250732932,0.4175880463145487,Medium Risk
Egypt,Africa,0.548,95.48,57.14,46.93,0.5078651685393258,0.954181449569184,0.589029535864979,0.49741728326120327,0.637123359308673,Medium Risk
El Salvador,North America,0.617,13.3,24.68,39.17,0.43033707865168536,0.12113532691332995,0.24662447257383965,0.38908278654195166,0.29679491617020165,High Risk
Equatorial Guinea,Africa,0.483,1.46,40.26,51.79,0.5808988764044944,0.001115053218449061,0.41097046413502114,0.5652659500209408,0.38956258594472637,Medium Risk
Eritrea,Africa,0.483,1.73,40.26,51.79,0.5808988764044944,0.0038520020273694867,0.41097046413502114,0.5652659500209408,0.39024682314695647,Medium Risk
Estonia,Europe,0.134,99.48,93.51,75.59,0.9730337078651685,0.9947288393309681,0.9726793248945149,0.8975289683093676,0.9594927101000048,Low Risk
Eswatini,Africa,0.483,18.23,40.26,51.79,0.5808988764044944,0.17110998479472883,0.41097046413502114,0.5652659500209408,0.4320613188387963,Medium Risk
Ethiopia,Africa,0.866,27.74,32.47,20.7,0.15056179775280898,0.2675114039533705,0.32879746835443036,0.13122993159290797,0.21952515041337944,High Risk
Fiji,Asia-Pasific,0.483,29.08,40.26,51.79,0.5808988764044944,0.28109477952356815,0.41097046413502114,0.5652659500209408,0.45955751752100615,Medium Risk
Finland,Europe,0.11,95.78,85.71,78.35,1.0,0.9572225038013178,0.8904008438818566,0.9360603099260085,0.9459209144022958,Low Risk
France,Europe,0.228,97.6,84.42,77.29,0.8674157303370786,0.9756715661429295,0.8767932489451478,0.9212620410442552,0.9102856466173528,Low Risk
Gabon,Africa,0.483,11.36,40.26,51.79,0.5808988764044944,0.10146984287886467,0.41097046413502114,0.5652659500209408,0.41465128335983026,Medium Risk
Gambia,Africa,0.483,32.12,11.69,51.79,0.5808988764044944,0.311910795742524,0.10959915611814346,0.5652659500209408,0.3919186945715257,Medium Risk
Georgia,Europe,0.383,81.06,64.94,53.5,0.6932584269662921,0.8080081094779524,0.6713080168776372,0.5891386290660338,0.6904282955969788,Low Risk
Germany,Europe,0.241,97.41,90.91,80.01,0.8528089887640449,0.9737455651292448,0.9452531645569621,0.9592349574200754,0.9327606689675818,Low Risk
Ghana,Africa,0.483,86.69,31.17,40.68,0.5808988764044944,0.8650785605676634,0.31508438818565404,0.41016333938294003,0.542806291135188,Medium Risk
Greece,Europe,0.4,93.98,96.1,64.02,0.6741573033707865,0.938976178408515,1.0,0.7360044674019265,0.8372844872953069,Low Risk
Grenada,North America,0.483,9.41,20.78,58.0,0.5808988764044944,0.08170299036999493,0.20548523206751057,0.6519614686583833,0.3800121418750958,Medium Risk
Guatemala,North America,0.483,13.13,24.68,35.43,0.5808988764044944,0.11941206284845414,0.24662447257383965,0.3368700265251989,0.3209513595879968,High Risk
Guinea,Africa,0.483,20.53,40.26,51.79,0.5808988764044944,0.19442473390775467,0.41097046413502114,0.5652659500209408,0.43789000611705275,Medium Risk
Guinea-Bissau,Africa,0.483,9.85,40.26,51.79,0.5808988764044944,0.08616320324379118,0.41097046413502114,0.5652659500209408,0.41082462345106185,Medium Risk
Guyana,South America,0.483,28.11,10.39,42.91,0.5808988764044944,0.2712620375063355,0.09588607594936709,0.44129554655870434,0.34733563410472534,Medium Risk
Haiti,North America,0.483,6.4,10.39,26.46,0.5808988764044944,0.05119107957425241,0.09588607594936709,0.21164316627111543,0.23490479954980734,High Risk
